Date,Municipality,Region,City,Deaths,Seriously injured,Slightly injured,Speed,Escapists,Climate,Subtype,Subzone,Wind,Moment,Type
21/09/2010,VILAFRANCA DEL PENEDES,Alt Penedes,Barcelona,0,1,1,100,No,Good weather,Lateral collision/friction,Road,Light wind,Morning,Moving vehicles collision
25/05/2010,CORNELLA DE LLOBREGAT,Baix Llobregat,Barcelona,0,1,0,80,No,Good weather,On vacation,Road,Light wind,Afternoon,Moving vehicles collision
02/03/2010,CERDANYOLA DEL VALLES,Valles Occidental,Barcelona,0,1,0,20,No,Good weather,On vacation,Road,Light wind,Morning,Moving vehicles collision
25/01/2010,MONTCADA I REIXAC,Valles Occidental,Barcelona,0,1,0,NA,No,Good weather,Onslaught (front-side),Urban zone,Light wind,Morning,Moving vehicles collision
11/06/2010,SANT ADRIA DE BESOS,Barcelones,Barcelona,0,1,0,80,No,Good weather,On vacation,Road,Light wind,Morning,Moving vehicles collision
13/04/2010,TARRAGONA,Tarragones,Tarragona,0,1,0,100,Yes,Good weather,Run over,Urban zone,Light wind,Morning,Run over
12/11/2010,CORNELLA DE LLOBREGAT,Baix Llobregat,Barcelona,0,1,0,NA,No,Good weather,Onslaught (front-side),Urban zone,Light wind,Morning,Moving vehicles collision
16/05/2010,SABADELL,Valles Occidental,Barcelona,0,1,2,100,No,Good weather,Frontal collision,Road,Light wind,Morning,Moving vehicles collision
09/01/2010,PONT DE BAR; EL,Alt Urgell,Lleida,0,1,0,50,No,Good weather,Frontal collision,Road,Light wind,Morning,Moving vehicles collision
09/11/2010,GURB,Osona,Barcelona,1,1,1,100,No,Good weather,Frontal collision,Road,Moderate wind,Morning,Moving vehicles collision
15/03/2010,BARCELONA,Barcelones,Barcelona,1,0,0,60,No,Good weather,Collision against an object/obstacle without prior exit from the road,Urban zone,Light wind,Night,Collision against an object in the roadway
29/10/2010,MANLLEU,Osona,Barcelona,0,1,2,20,No,Good weather,Run over,Urban zone,Light wind,Afternoon,Run over
14/02/2010,BARCELONA,Barcelones,Barcelona,1,0,4,80,No,Good weather,Other,Road,Light wind,Night,Other
14/08/2010,VILA-SECA,Tarragones,Tarragona,0,1,1,100,Yes,Good weather,Run over,Urban zone,Light wind,Afternoon,Run over
11/07/2010,HOSTALETS DE PIEROLA,Anoia,Barcelona,0,2,0,100,No,Good weather,Lateral collision/friction,Urban zone,Light wind,Afternoon,Moving vehicles collision
12/09/2010,LLICA D'AMUNT,Valles Oriental,Barcelona,0,1,4,NA,Unspecified,Good weather,Frontal collision,Urban zone,Light wind,Morning,Moving vehicles collision
11/03/2010,LLEIDA,Segria,Lleida,0,1,0,100,No,Good weather,Onslaught (front-side),Road,Light wind,Morning,Moving vehicles collision
06/03/2010,BADALONA,Barcelones,Barcelona,0,1,1,100,No,Good weather,Run over,Urban zone,Light wind,Morning,Run over
09/11/2010,BARCELONA,Barcelones,Barcelona,0,1,0,100,No,Good weather,Run over,Urban zone,Light wind,Morning,Run over
09/06/2010,MONISTROL DE MONTSER,Bages,Barcelona,0,1,0,NA,No,Heavy rain,Other roadway exits,Road,Light wind,Morning,Unspecified roadway exit
14/10/2010,REUS,Baix Camp,Tarragona,0,1,0,100,No,Good weather,Fall on the road,Urban zone,Light wind,Morning,Overturn in roadway
22/05/2010,SANT CUGAT DEL VALLES,Valles Occidental,Barcelona,0,1,0,50,No,Good weather,Frontal collision,Road,Light wind,Afternoon,Moving vehicles collision
11/05/2010,TERRASSA,Valles Occidental,Barcelona,0,1,0,100,Yes,Good weather,Onslaught (front-side),Road,Light wind,Afternoon,Moving vehicles collision
19/05/2010,BARCELONA,Barcelones,Barcelona,0,1,0,100,Yes,Good weather,Run over,Urban zone,Light wind,Night,Run over
30/10/2010,TARREGA,Urgell,Lleida,0,2,0,100,No,Good weather,Other roadway exits,Road,Light wind,Morning,Unspecified roadway exit
06/05/2010,TERRASSA,Valles Occidental,Barcelona,0,1,0,100,No,Good weather,Onslaught (front-side),Urban zone,Light wind,Morning,Moving vehicles collision
23/06/2010,CASTELLBELL I EL VIL,Bages,Barcelona,0,2,0,40,No,Good weather,On vacation,Road,Light wind,Afternoon,Moving vehicles collision
27/06/2010,SANT SALVADOR DE GUARDIA,Bages,Barcelona,0,1,0,100,No,Good weather,Frontal collision,Road,Light wind,Morning,Moving vehicles collision
27/01/2010,BARCELONA,Barcelones,Barcelona,0,1,0,100,Yes,Good weather,Frontal collision,Urban zone,Light wind,Afternoon,Moving vehicles collision
24/05/2010,CALONGE,Baix Emporda,Girona,0,1,3,100,No,Good weather,Onslaught (front-side),Road,Light wind,Afternoon,Moving vehicles collision
18/01/2010,SANT ESTEVE SESROVIRES,Baix Llobregat,Barcelona,1,0,0,100,No,Light rain,Lateral collision/friction,Road,Light wind,Afternoon,Moving vehicles collision
31/07/2010,BRUNYOLA,Selva,Girona,0,3,1,100,No,Good weather,Lateral collision/friction,Road,Light wind,Afternoon,Moving vehicles collision
17/03/2010,VIC,Osona,Barcelona,0,1,0,100,No,Good weather,Run over,Urban zone,Light wind,Afternoon,Run over
21/12/2010,SABADELL,Valles Occidental,Barcelona,0,1,0,100,No,Good weather,Run over,Urban zone,Light wind,Morning,Run over
02/08/2010,MANRESA,Bages,Barcelona,0,1,0,100,No,Light rain,Run over,Road,Light wind,Afternoon,Run over
01/06/2010,MOLLET DEL VALLES,Valles Oriental,Barcelona,0,1,1,100,No,Good weather,Onslaught (front-side),Urban zone,Light wind,Morning,Moving vehicles collision
08/04/2010,LLEIDA,Segria,Lleida,0,1,0,100,No,Good weather,Onslaught (front-side),Road,Light wind,Afternoon,Moving vehicles collision
20/01/2010,RUBI,Valles Occidental,Barcelona,0,1,0,100,No,Good weather,Onslaught (front-side),Urban zone,Light wind,Morning,Moving vehicles collision
22/05/2010,ROQUETES,Baix Ebre,Tarragona,0,1,0,40,No,Good weather,Fall on the road,Urban zone,Light wind,Afternoon,Overturn in roadway
23/09/2010,TARRAGONA,Tarragones,Tarragona,0,1,1,NA,Unspecified,Good weather,Lateral collision/friction,Urban zone,Light wind,Night,Moving vehicles collision
26/07/2010,BARCELONA,Barcelones,Barcelona,0,1,0,100,No,Good weather,Onslaught (front-side),Urban zone,Light wind,Night,Moving vehicles collision
08/10/2010,QUART,Girones,Girona,1,0,0,100,No,Good weather,Fall on the road,Road,Light wind,Morning,Overturn in roadway
13/03/2010,SANT ADRIA DE BESOS,Barcelones,Barcelona,0,1,0,NA,No,Good weather,Road exit with crash/collision,Urban zone,Light wind,Night,Unspecified roadway exit
11/10/2010,OLUGES; LES,Segarra,Lleida,0,1,0,100,No,Good weather,Collision against an object/obstacle without prior exit from the road,Urban zone,Light wind,Afternoon,Collision against an object in the roadway
12/07/2010,LLAGOSTERA,Girones,Girona,1,0,0,100,No,Good weather,Lateral collision/friction,Road,Light wind,Morning,Moving vehicles collision
10/08/2010,TERRASSA,Valles Occidental,Barcelona,0,1,1,100,No,Good weather,Lateral collision/friction,Urban zone,Light wind,Night,Moving vehicles collision
19/03/2010,BARCELONA,Barcelones,Barcelona,0,1,0,100,No,Good weather,Lateral collision/friction,Urban zone,Light wind,Morning,Moving vehicles collision
12/05/2010,SANT PERE DE RIUDEBITLLES,Alt Penedes,Barcelona,4,1,0,100,No,Good weather,Lateral collision/friction,Road,Light wind,Afternoon,Moving vehicles collision
04/03/2010,BARCELONA,Barcelones,Barcelona,0,1,3,100,No,Light rain,Onslaught (front-side),Urban zone,Light wind,Night,Moving vehicles collision
03/03/2010,BADALONA,Barcelones,Barcelona,0,1,0,100,No,Light rain,Run over,Urban zone,Light wind,Afternoon,Run over
20/07/2010,MANRESA,Bages,Barcelona,0,1,0,100,No,Good weather,Run over,Urban zone,Light wind,Morning,Run over
09/06/2010,MONTCADA I REIXAC,Valles Occidental,Barcelona,0,1,0,NA,No,Light rain,Run over,Urban zone,Light wind,Morning,Run over
18/09/2010,SANT FELIU DE LLOBREGAT,Baix Llobregat,Barcelona,0,1,1,80,No,Light rain,Onslaught (front-side),Road,Light wind,Morning,Moving vehicles collision
27/03/2010,CERDANYOLA DEL VALLES,Valles Occidental,Barcelona,0,1,0,100,No,Good weather,Collision against an object/obstacle without prior exit from the road,Urban zone,Light wind,Afternoon,Collision against an object in the roadway
28/03/2010,RIUDOMS,Baix Camp,Tarragona,0,1,1,100,No,Good weather,On vacation,Road,Light wind,Afternoon,Moving vehicles collision
04/09/2010,AVIA,Bergueda,Barcelona,0,1,3,NA,No,Good weather,Lateral collision/friction,Road,Light wind,Morning,Moving vehicles collision
05/09/2010,CAMBRILS,Baix Camp,Tarragona,0,1,2,100,No,Good weather,Run over,Urban zone,Light wind,Afternoon,Run over
19/03/2010,CAMARLES,Baix Ebre,Tarragona,0,1,0,100,No,Light rain,Frontal collision,Urban zone,Light wind,Afternoon,Moving vehicles collision
04/12/2010,TORTOSA,Baix Ebre,Tarragona,0,1,0,100,No,Good weather,Lateral collision/friction,Urban zone,Light wind,Afternoon,Moving vehicles collision
05/09/2010,MARTORELL,Baix Llobregat,Barcelona,1,0,1,30,No,Good weather,Collision against an object/obstacle without prior exit from the road,Road,Light wind,Morning,Collision against an object in the roadway
12/12/2010,BARCELONA,Barcelones,Barcelona,1,3,0,100,No,Good weather,Run over,Urban zone,Light wind,Afternoon,Run over
02/09/2010,JONQUERA; LA,Alt Emporda,Girona,0,1,2,60,No,Good weather,Lateral collision/friction,Crossing,Light wind,Afternoon,Moving vehicles collision
19/08/2010,BESCANO,Girones,Girona,0,1,0,70,No,Good weather,On vacation,Road,Light wind,Afternoon,Moving vehicles collision
21/09/2010,BARCELONA,Barcelones,Barcelona,1,0,0,80,No,Light rain,Fall on the road,Urban zone,Light wind,Morning,Overturn in roadway
28/07/2010,VIC,Osona,Barcelona,0,1,0,NA,No,Good weather,Run over,Urban zone,Light wind,Morning,Run over
08/02/2010,TARRAGONA,Tarragones,Tarragona,0,1,0,100,No,Good weather,Run over,Urban zone,Light wind,Morning,Run over
16/08/2010,SANT JOAN DE VILATOR,Bages,Barcelona,1,1,0,80,No,Good weather,Lateral collision/friction,Road,Light wind,Morning,Moving vehicles collision
24/07/2010,LLICA D'AMUNT,Valles Oriental,Barcelona,0,2,0,30,No,Good weather,Other roadway exits,Urban zone,Light wind,Afternoon,Unspecified roadway exit
15/06/2010,BARCELONA,Barcelones,Barcelona,0,1,0,100,No,Light rain,Lateral collision/friction,Urban zone,Light wind,Morning,Moving vehicles collision
20/10/2010,CALAFELL,Baix Penedes,Tarragona,0,1,0,NA,No,Good weather,Collision against an object/obstacle without prior exit from the road,Urban zone,Light wind,Afternoon,Collision against an object in the roadway
01/10/2010,ALBINYANA,Baix Penedes,Tarragona,0,1,0,50,No,Good weather,Other roadway exits,Road,Light wind,Afternoon,Unspecified roadway exit
31/07/2010,GRANOLLERS,Valles Oriental,Barcelona,1,0,1,100,No,Good weather,Other roadway exits,Crossing,Light wind,Afternoon,Unspecified roadway exit
19/01/2010,BARCELONA,Barcelones,Barcelona,0,1,0,100,No,Good weather,Run over,Urban zone,Light wind,Afternoon,Run over
16/01/2010,LLERS,Alt Emporda,Girona,1,0,1,60,No,Good weather,Frontal collision,Road,Light wind,Night,Moving vehicles collision
30/01/2010,REUS,Baix Camp,Tarragona,0,1,0,100,No,Good weather,On vacation,Urban zone,Light wind,Morning,Moving vehicles collision
23/07/2010,SEVA,Osona,Barcelona,0,2,1,70,No,Light rain,Frontal collision,Road,Light wind,Morning,Moving vehicles collision
18/03/2010,MASNOU; EL,Maresme,Barcelona,0,1,0,50,No,Good weather,Run over,Road,Light wind,Afternoon,Run over
02/11/2010,RUBI,Valles Occidental,Barcelona,0,1,0,100,No,Good weather,Lateral collision/friction,Road,Light wind,Morning,Moving vehicles collision
24/01/2010,CASTELLDEFELS,Baix Llobregat,Barcelona,0,1,0,100,No,Good weather,Lateral collision/friction,Road,Light wind,Afternoon,Moving vehicles collision
21/08/2010,ALDOVER,Baix Ebre,Tarragona,0,1,13,100,No,Good weather,Onslaught (front-side),Road,Light wind,Afternoon,Moving vehicles collision
16/01/2010,BARCELONA,Barcelones,Barcelona,0,1,1,100,No,Good weather,Onslaught (front-side),Urban zone,Light wind,Afternoon,Moving vehicles collision
10/02/2010,SANT ADRIA DE BESOS,Barcelones,Barcelona,0,1,0,80,No,Good weather,Lateral collision/friction,Road,Light wind,Afternoon,Moving vehicles collision
29/10/2010,MOLLERUSSA,Pla d'Urgell,Lleida,1,0,0,100,No,Good weather,Collision against an object/obstacle without prior exit from the road,Road,Light wind,Morning,Collision against an object in the roadway
06/07/2010,OLOT,Garrotxa,Girona,0,1,0,100,No,Good weather,Run over,Urban zone,Light wind,Morning,Run over
09/02/2010,AMPOLLA; L',Baix Ebre,Tarragona,0,1,0,100,No,Good weather,Onslaught (front-side),Road,Light wind,Morning,Moving vehicles collision
20/04/2010,MANRESA,Bages,Barcelona,0,1,0,100,No,Good weather,Onslaught (front-side),Urban zone,Light wind,Morning,Moving vehicles collision
04/01/2010,OLOT,Garrotxa,Girona,0,1,0,100,No,Good weather,Onslaught (front-side),Urban zone,Light wind,Afternoon,Moving vehicles collision
25/09/2010,OLUGES; LES,Segarra,Lleida,1,0,2,100,No,Good weather,Collision against an object/obstacle without prior exit from the road,Road,Light wind,Morning,Collision against an object in the roadway
18/07/2010,SANT JAUME DELS DOMENYS,Baix Penedes,Tarragona,0,1,0,100,No,Good weather,Collision against an object/obstacle without prior exit from the road,Road,Light wind,Morning,Collision against an object in the roadway
03/06/2010,SABADELL,Valles Occidental,Barcelona,0,1,0,100,No,Good weather,Frontal collision,Urban zone,Light wind,Afternoon,Moving vehicles collision
18/07/2010,ALPICAT,Segria,Lleida,0,2,0,40,No,Good weather,Collision against an object/obstacle without prior exit from the road,Road,Light wind,Afternoon,Collision against an object in the roadway
07/01/2010,FREGINALS,Montsia,Tarragona,1,0,2,100,No,Good weather,On vacation,Road,Light wind,Afternoon,Moving vehicles collision
23/04/2010,SABADELL,Valles Occidental,Barcelona,0,1,0,100,No,Good weather,Run over,Road,Light wind,Afternoon,Run over
08/05/2010,HOSPITALET DE LLOBREGAT,Barcelones,Barcelona,1,0,0,20,Unspecified,Good weather,Onslaught (front-side),Urban zone,Light wind,Morning,Moving vehicles collision
25/07/2010,ARENYS DE MUNT,Maresme,Barcelona,1,1,0,100,No,Good weather,On vacation,Road,Light wind,Night,Moving vehicles collision
08/07/2010,CANOVELLES,Valles Oriental,Barcelona,0,1,0,100,No,Good weather,Lateral collision/friction,Road,Light wind,Morning,Moving vehicles collision
18/05/2010,OLOT,Garrotxa,Girona,0,1,0,100,No,Good weather,Run over,Urban zone,Light wind,Morning,Run over
29/03/2010,TALLADA D'EMPORDA; LA,Baix Emporda,Girona,2,0,1,100,No,Good weather,Frontal collision,Road,Light wind,Morning,Moving vehicles collision
06/01/2010,RODA DE TER,Osona,Barcelona,0,1,1,NA,No,Good weather,Onslaught (front-side),Urban zone,Light wind,Afternoon,Moving vehicles collision
11/11/2010,BARCELONA,Barcelones,Barcelona,0,1,0,100,No,Good weather,Onslaught (front-side),Urban zone,Light wind,Night,Moving vehicles collision
15/05/2010,SANT QUIRZE DEL VALLES,Valles Occidental,Barcelona,0,1,3,100,No,Good weather,Onslaught (front-side),Road,Light wind,Morning,Moving vehicles collision
01/03/2010,MONTCADA I REIXAC,Valles Occidental,Barcelona,0,1,0,80,No,Good weather,Lateral collision/friction,Road,Light wind,Morning,Moving vehicles collision
16/01/2010,BARCELONA,Barcelones,Barcelona,0,1,0,100,No,Good weather,Collision against an object/obstacle without prior exit from the road,Urban zone,Light wind,Morning,Collision against an object in the roadway
01/03/2010,BARCELONA,Barcelones,Barcelona,0,1,0,100,No,Good weather,Onslaught (front-side),Urban zone,Light wind,Afternoon,Moving vehicles collision
07/09/2010,SANTA CRISTINA D'ARO,Baix Emporda,Girona,1,0,0,100,No,Good weather,Other roadway exits,Road,Moderate wind,Morning,Unspecified roadway exit
10/03/2010,BLANES,Selva,Girona,0,1,0,NA,No,Good weather,Run over,Urban zone,Light wind,Morning,Run over
19/01/2010,SABADELL,Valles Occidental,Barcelona,0,1,0,100,No,Good weather,Onslaught (front-side),Urban zone,Light wind,Afternoon,Moving vehicles collision
16/09/2010,BLANES,Selva,Girona,0,1,0,NA,No,Good weather,Run over,Urban zone,Light wind,Afternoon,Run over
19/06/2010,BARCELONA,Barcelones,Barcelona,0,2,0,100,No,Good weather,Onslaught (front-side),Urban zone,Light wind,Afternoon,Moving vehicles collision
24/05/2010,CALDERS,Moianès,Barcelona,0,1,3,50,No,Good weather,Frontal collision,Crossing,Light wind,Morning,Moving vehicles collision
30/08/2010,FORALLAC,Baix Emporda,Girona,0,1,0,100,No,Good weather,Lateral collision/friction,Road,Light wind,Night,Moving vehicles collision
26/04/2010,MONTCADA I REIXAC,Valles Occidental,Barcelona,0,1,2,100,No,Good weather,Lateral collision/friction,Road,Light wind,Afternoon,Moving vehicles collision
04/08/2010,AMPOSTA,Montsia,Tarragona,1,0,0,100,No,Good weather,Onslaught (front-side),Road,Light wind,Afternoon,Moving vehicles collision
16/05/2010,SALOU,Tarragones,Tarragona,0,1,0,100,No,Good weather,Run over,Urban zone,Light wind,Night,Run over
08/01/2010,BLANES,Selva,Girona,0,1,0,NA,No,Good weather,Run over,Urban zone,Moderate wind,Morning,Run over
08/07/2010,CASTELLAR DEL VALLES,Valles Occidental,Barcelona,0,1,0,NA,No,Good weather,Onslaught (front-side),Urban zone,Light wind,Afternoon,Moving vehicles collision
01/06/2010,GRANOLLERS,Valles Oriental,Barcelona,0,1,0,100,No,Good weather,Onslaught (front-side),Urban zone,Light wind,Afternoon,Moving vehicles collision
